barcode_01	232	318	543	981
barcode_02	41	232	703	543
barcode_03	314	378	482	803
barcode_04	220	314	645	482
barcode_05	201	79	398	681
barcode_06	846	631	1973	1208
barcode_07	341	201	944	398
barcode_08	913	1030	1251	2128
barcode_09	889	2360	1816	3663
barcode_10	405	418	920	1898
barcode_11	207	125	464	842
barcode_12	182	203	895	468
barcode_13	688	704	1250	2149
barcode_14	186	214	818	453
barcode_15	857	1485	1955	2080
barcode_16	240	157	773	442
barcode_17	1050	798	1412	2093
barcode_18	217	91	451	934
barcode_19	88	217	931	451
barcode_20	333	793	1299	2090
barcode_21	94	110	583	750
barcode_22	271	93	912	583
barcode_23	167	257	821	505
barcode_24	442	422	859	1506
barcode_25	211	352	1250	677
barcode_26	116	277	956	529
barcode_27	438	186	824	1201
barcode_28	152	154	683	544
barcode_29	377	1005	1145	2037
barcode_30	458	463	931	1560
barcode_31	343	242	562	828
barcode_32	198	335	777	570
barcode_33	615	755	1671	1314
barcode_34	441	323	1341	638
barcode_35	833	798	1795	1167
barcode_36	742	484	1797	870
barcode_37	794	612	2018	1199
barcode_38	1100	706	1506	3368
barcode_39	434	31	582	963
barcode_40	66	400	984	616
barcode_41	653	745	1883	1225
barcode_42	637	685	1636	1041
barcode_43	1165	860	2317	1414
barcode_44	779	717	2306	1319
barcode_45	639	354	1648	1034
barcode_46	671	527	1885	992
barcode_47	687	519	1924	1003
barcode_48	661	733	1731	1265
barcode_49	1168	1339	2519	1965
barcode_50	1022	1242	2429	1719
barcode_51	1751	1367	2817	1862
barcode_52	565	620	1613	985
barcode_53	820	824	1243	1850
barcode_54	1266	2152	1705	3282
barcode_55	987	758	2275	1276
barcode_56	469	976	1648	1546
barcode_57	837	748	1951	1518
barcode_58	496	566	1779	965
barcode_59	915	735	2294	1262
barcode_60	918	558	2401	1406
barcode_61	527	506	1739	1061
barcode_62	748	438	1496	1878
barcode_63	752	557	2212	1218
barcode_64	701	1225	1253	2677
barcode_65	338	326	652	1171
barcode_66	34	444	765	659
barcode_67	0	585	1835	2363
barcode_68	36	717	721	980
barcode_69	2	933	693	1301
barcode_70	730	444	1127	630
barcode_71	46	800	965	1257
barcode_72	847	696	1250	1640
barcode_73	728	557	1802	1054
