barcode_01	232	314	650	802
barcode_02	161	222	734	669
barcode_03	329	384	458	797
barcode_04	224	308	630	490
barcode_05	197	127	416	673
barcode_06	835	666	1998	1221
barcode_07	349	200	895	441
barcode_08	905	1040	1270	2074
barcode_09	863	2394	1884	3571
barcode_10	370	459	922	1876
barcode_11	204	142	481	827
barcode_12	192	196	889	506
barcode_13	690	710	1309	2109
barcode_14	196	219	815	495
barcode_15	844	1481	1942	2099
barcode_16	239	164	768	458
barcode_17	1033	852	1462	1978
barcode_18	212	130	481	862
barcode_19	82	230	947	493
barcode_20	299	803	1401	2096
barcode_21	75	110	625	750
barcode_22	327	140	882	611
barcode_23	174	245	822	505
barcode_24	425	434	887	1415
barcode_25	211	349	1245	718
barcode_26	308	273	897	523
barcode_27	457	204	892	1163
barcode_28	159	149	673	577
barcode_29	401	1028	1153	1968
barcode_30	467	476	948	1519
barcode_31	334	252	618	815
barcode_32	206	349	779	589
barcode_33	609	747	1677	1352
barcode_34	451	311	1367	665
barcode_35	838	777	1791	1203
barcode_36	745	481	1787	903
barcode_37	802	605	1995	1241
barcode_38	982	754	1563	3327
barcode_39	404	52	600	952
barcode_40	64	441	990	581
barcode_41	651	768	1819	1219
barcode_42	634	691	1607	1029
barcode_43	1180	857	2261	1454
barcode_44	792	732	2223	1275
barcode_45	640	364	1625	1080
barcode_46	667	585	1867	988
barcode_47	713	576	1880	978
barcode_48	728	794	1710	1339
barcode_49	1177	1324	2509	2031
barcode_50	1037	1229	2406	1781
barcode_51	1781	1361	2803	1913
barcode_52	558	653	1617	987
barcode_53	757	817	1236	1847
barcode_54	1187	2153	1736	3286
barcode_55	974	800	2216	1242
barcode_56	451	1048	1668	1471
barcode_57	839	736	1913	1525
barcode_58	506	567	1714	1025
barcode_59	904	780	2232	1230
barcode_60	916	570	2296	1461
barcode_61	616	590	1756	1005
barcode_62	748	475	1532	1832
barcode_63	762	552	2165	1288
barcode_64	650	1267	1242	2662
barcode_65	294	328	642	1141
barcode_66	39	443	757	650
barcode_67	58	851	1047	1162
barcode_68	32	714	723	956
barcode_69	45	992	689	1307
barcode_70	742	446	1103	631
barcode_71	47	791	974	1230
barcode_72	777	708	1277	1615
barcode_73	739	591	1803	1049
